product_id,old_name,new_name,collection,old_sku,old_sku_variants,old_price_pln,live_price_pln,live_regular_price_pln,new_price_pln,category,gender,shape,material,polarized,frame_colors,lens_colors,stock_status,total_sales,image_count,image_live_url,local_image_path,all_local_images,source_image_url,old_full_name,old_slug,new_url,old_description
243882,G 2622 C4,Adelfa,City,Goya G 2622 C4,,109,76.3,109.0,349,Korekcyjne,Damskie,Prostokątne,Tworzywo,nie,"Fioletowy, Różowy",,instock,4,2,https://goya-eight.vercel.app/products/587_2.jpg,/products/587_2.jpg,/products/587_2.jpg; /products/587_1.jpg,https://okulary.pl/wp-content/uploads/2022/11/587_2.jpg,GOYA okulary korekcyjne - G 2622 C4,goya-okulary-korekcyjne-g-2622-c4,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2622-c4,"OKULARY KOREKCYJNE GOYA G 2622 C4 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
245743,G 182,Aire,Coast,,GOYA G 182 ZX; Goya G 182 BR; Goya G 182 CZ,149,104.3,,449,Przeciwsłoneczne,Damskie,Muchy,Tworzywo,tak,"Brązowy, Czarny, Transparentny","Brązowy, Czarny",instock,10,2,https://goya-eight.vercel.app/products/3150_6.jpg,/products/3150_6.jpg,/products/3150_6.jpg; /products/3148_1.jpg,https://okulary.pl/wp-content/uploads/2022/11/3150_6.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G 182,goya-g-182-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,https://goya-eight.vercel.app/okulary/goya-g-182-zx-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,"OKULARY PRZECIWSŁONECZNE DLA KIEROWCÓW GOYA Z FILTREM POLARYZACYJNYM I UV400 Oprawka wykonana w technologii - wycinania z płyty. Ręcznie obrabiana. Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) OPRAWKA WYKONANA W TECHNOLOGII TR-90 Wysokiej jakości odmiana nylonu, wyjątkowo odporna na rozciąganie i wyginanie. Materiał wytrzymały na uderzenia, elastyczny, przyjemny w dotyku, o właściwościach antyalergicznych. Okulary wykonane z TR-90 są lekkie, wytrzymałe i wygodne w użytkowaniu. ZAUSZNIKI POŁĄCZONE Z OPRAWKĄ SYSTEMEM FLEX: FLEX - elastyczne połączenie zausznika z frontem oprawy. Zwiększony zakres odchylenia zausznika do ponad 110° gwarantuje wygodę noszenia i ułatwia zakładanie oraz zdejmowanie okularów. OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kat"
334136,G 55004 BR,Alba,Coast,G 55004 BR - C3,,179,125.3,179.0,499,Przeciwsłoneczne,Damskie,Aviator,Metal,tak,Brązowy,Brązowy,instock,2,10,https://goya-eight.vercel.app/products/G_55004_BR_A.jpg,/products/G_55004_BR_A.jpg,/products/G_55004_BR_A.jpg; /products/G_55004_BR_MODkw.jpg; /products/G_55004_BR_G.jpg; /products/G_55004_BR_MOD1.jpg; /products/G_55004_BR_F.jpg; /products/G_55004_BR_MOD.jpg; /products/G_55004_BR_B.jpg; /products/G_55004_BR_S.jpg; /products/G_55004_BR_T.jpg; /products/G_55004_BR_F1.jpg,https://okulary.pl/wp-content/uploads/2025/01/G_55004_BR_A.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G 55004 BR,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55004-br,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-g-55004-br,"OKULARY PRZECIWSŁONECZNE DLA KIEROWCÓW GOYA Z FILTREM POLARYZACYJNYM I UV400 Oprawki wykonane w całości z aluminium - co sprawia, że okulary są bardzo lekkie i wytrzymałe. Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) ZAUSZNIKI POŁĄCZONE Z OPRAWKĄ SYSTEMEM FLEX: FLEX - elastyczne połączenie zausznika z frontem oprawy. Zwiększony zakres odchylenia zausznika do ponad 110° gwarantuje wygodę noszenia i ułatwia zakładanie oraz zdejmowanie okularów. OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala"
243957,okulary korekcyjne G 2742 C2,Alma,City,Goya G 2742 C2,,109,76.3,109.0,349,Korekcyjne,Damskie,Prostokątne,Tworzywo,nie,Fioletowy,,instock,0,2,https://goya-eight.vercel.app/products/575_6.jpg,/products/575_6.jpg,/products/575_6.jpg; /products/575_5.jpg,https://okulary.pl/wp-content/uploads/2022/11/575_6.jpg,GOYA okulary korekcyjne G 2742 C2,goya-okulary-korekcyjne-g-2742-c2,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-2742-c2,"OKULARY KOREKCYJNE GOYA G 2742 C2 Produkt nowy ! - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY SĄ BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
245464,G 205,Almendra,Coast,,Goya G 205 Z; Goya G 205 BR,149,104.3,,449,Przeciwsłoneczne,Damskie,Kocie,Tworzywo,tak,"Brązowy, Fioletowy, Zielony","Brązowy, Czarny",instock,13,1,https://goya-eight.vercel.app/products/3119_1.jpg,/products/3119_1.jpg,/products/3119_1.jpg,https://okulary.pl/wp-content/uploads/2022/11/3119_1.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G 205,goya-g-205-z-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,https://goya-eight.vercel.app/okulary/goya-g-205-z-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,"OKULARY PRZECIWSŁONECZNE DLA KIEROWCÓW GOYA Z FILTREM POLARYZACYJNYM I UV400 Oprawka okularów wykonana w technologii wycinania z płyty, Ręcznie obrabiane i składane. Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala na bardziej komfortowe widzenie. Dlatego okulary z filtrem polaryzacyjnym to idealne rozwiązanie do wszelkiego rodzaju aktywności na świeżym powietrzu, pozwalające pełniej korzystać z życia. ZALETY: Eliminują oślepiające od"
244646,G1923 C1,Almería,Coast,GOYA G1923 C1,,109,76.3,109.0,349,Przeciwsłoneczne,Unisex,Aviator,Metal,tak,Złoty,Brązowy,instock,4,4,https://goya-eight.vercel.app/products/974_3.jpg,/products/974_3.jpg,/products/974_3.jpg; /products/974_2.jpg; /products/974_6.jpg; /products/974_1.jpg,https://okulary.pl/wp-content/uploads/2022/11/974_3.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G1923 C1,goya-g1923-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,https://goya-eight.vercel.app/okulary/goya-g1923-c1-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym,"OKULARY PRZECIWSŁONECZNE DLA KIEROWCÓW GOYA Z FILTREM POLARYZACYJNYM I UV400 Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) OPRAWKA WYKONANA W TECHNOLOGII TR-90 Wysokiej jakości odmiana nylonu, wyjątkowo odporna na rozciąganie i wyginanie. Materiał wytrzymały na uderzenia, elastyczny, przyjemny w dotyku, o właściwościach antyalergicznych. Okulary wykonane z TR-90 są lekkie, wytrzymałe i wygodne w użytkowaniu. ZAUSZNIKI POŁĄCZONE Z OPRAWKĄ SYSTEMEM FLEX: FLEX - elastyczne połączenie zausznika z frontem oprawy. Zwiększony zakres odchylenia zausznika do ponad 110° gwarantuje wygodę noszenia i ułatwia zakładanie oraz zdejmowanie okularów. OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki pol"
243994,G 89020,Altea,City,,Goya G 89020 C4; Goya G 89020 C5,159,111.3,,449,Korekcyjne,Unisex,Kwadratowe,Tworzywo,nie,"Czarny, Granatowy, Niebieski",,instock,0,1,https://goya-eight.vercel.app/products/625_4.jpg,/products/625_4.jpg,/products/625_4.jpg,https://okulary.pl/wp-content/uploads/2022/11/625_4.jpg,GOYA okulary korekcyjne - G 89020,goya-okulary-korekcyjne-g-89020-c4,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-89020-c4,"OKULARY KOREKCYJNE GOYA G 89020 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
243742,G 15217,Amapola,Coast,,Goya G 15217 CZ; Goya G 15217 ZX,109,76.3,,349,Przeciwsłoneczne,Damskie,Kocie,Metal,tak,"Czarny, Wielokolorowy, Złoty","Brązowy, Czarny",instock,58,1,https://goya-eight.vercel.app/products/194_1.jpg,/products/194_1.jpg,/products/194_1.jpg,https://okulary.pl/wp-content/uploads/2022/11/194_1.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - G 15217,goya-g-15217-cz-okulary-przeciwsloneczne-kocie-oczy-z-filtrem-polaryzacyjnym,https://goya-eight.vercel.app/okulary/goya-g-15217-cz-okulary-przeciwsloneczne-kocie-oczy-z-filtrem-polaryzacyjnym,"OKULARY PRZECIWSŁONECZNE GOYA Z FILTREM POLARYZACYJNYM I UV400 Oprawka wykonana w technologii - wycinania z płyty. Ręcznie obrabiana. Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala na bardziej komfortowe widzenie. Dlatego okulary z filtrem polaryzacyjnym to idealne rozwiązanie do wszelkiego rodzaju aktywności na świeżym powietrzu, pozwalające pełniej korzystać z życia. ZALETY: Eliminują oślepiające odblaski, zmniejszając zmęczenie oczu"
244300,G 94312 C1,Ancla,City,Goya G 94312 C1,,159,111.3,159.0,449,Korekcyjne,Męskie,Prostokątne,Tworzywo,nie,"Czarny, Szary",,instock,0,4,https://goya-eight.vercel.app/products/667_4.jpg,/products/667_4.jpg,/products/667_4.jpg; /products/667_1.jpg; /products/667_3.jpg; /products/667_2.jpg,https://okulary.pl/wp-content/uploads/2022/11/667_4.jpg,GOYA okulary korekcyjne - G 94312 C1,goya-okulary-korekcyjne-g-94312-c1,https://goya-eight.vercel.app/okulary/goya-okulary-korekcyjne-g-94312-c1,"OKULARY KOREKCYJNE GOYA G 94312 C1 Produkt nowy - posiadają oryginalne zabezpieczenia, metkę oraz instrukcję użytkowania, dodatkowo w zestawie twarde etui na zawias sprężynowy Marki GOYA oraz miękką ściereczkę czyszczącą. NASZE PRODUKTY WYSYŁAMY BARDZO DOBRZE ZABEZPIECZONE W FOLIĘ TRANSPORTOWĄ I ZAPAKOWANE W WYTRZYMAŁY KARTONIK"
256121,CJ 1943,Arena,City,,GOYA CJ 1943 CZ; GOYA CJ 1943 P,179,125.3,,499,Przeciwsłoneczne,Męskie,Nerdy,Tworzywo,tak,Czarny,"Czarny, Pomarańczowy",instock,10,2,https://goya-eight.vercel.app/products/GOYA-CJ1943-P-A.jpg,/products/GOYA-CJ1943-P-A.jpg,/products/GOYA-CJ1943-P-A.jpg; /products/3431_7-e1681285160954.jpg,https://okulary.pl/wp-content/uploads/2023/04/GOYA-CJ1943-P-A.jpg,GOYA okulary przeciwsłoneczne z filtrem polaryzacyjnym - GOYA CJ 1943,goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cj-1943,https://goya-eight.vercel.app/okulary/goya-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-goya-cj-1943,"OKULARY PRZECIWSŁONECZNE GOYA Z FILTREM POLARYZACYJNYM I UV400 Soczewki okularów GOYA o grubości 1,1 wyposażone są w filtr polaryzacyjny oraz filtr ochronny UV-400 (UV-A, UV-B, UV-C) OKULARY POSIADAJĄ CERTYFIKAT CE. Produkt odpowiada Wytycznej Europejskiej 89/686/EWG zgodnie z normą PN-EN ISO 12312-1:2014-02/A1:2016-01. Każda para okularów posiada oryginalne oznaczenia znajdujące się na wewnętrznej stronie zauszników ; logo producenta, numer modelu, kategoria filtra oraz oznaczenie CE. O POLARYZACJI: Soczewki polaryzacyjne neutralizują oślepiające refleksy, powstające wówczas gdy światło odbija się od mokrej drogi, powierzchni wody lub śniegu. Eliminacja światła odbitego zwiększ kontrast widzenia i pozwala na bardziej komfortowe widzenie. Dlatego okulary z filtrem polaryzacyjnym to idealne rozwiązanie do wszelkiego rodzaju aktywności na świeżym powietrzu, pozwalające pełniej korzystać z życia. ZALETY: Eliminują oślepiające odblaski, zmniejszając zmęczenie oczu Chronią przed szkodliwym promieniowaniem UV Zwiększają kontrast"
