id,old_name,new_name,collection,shape,gender,category,slug
237598,G 218,Veloz,Drive,Sportowe,Męskie,Przeciwsłoneczne,srebrne-okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-goya-g-218-c
237602,G 221,Azahar,City,Nerdy,Damskie,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-kujonki-goya-g-221
237605,G 217,Ronda,Coast,Aviator,Unisex,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-pilotki-lustrzanki-goya-g-217-n
237606,G 214,Rumbo,City,Nerdy,Męskie,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-goya-g-214-cz-tr90
238105,G 55004 CZ,Jazmín,Coast,Aviator,Damskie,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-pilotki-goya-g-55004-cz
238829,G 55007,Vuelo,Coast,Aviator,Męskie,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-goya-g-55007-br
238836,G 8004,Nerja,Weekend,Pozostałe,Unisex,Przeciwsłoneczne,brazowe-okulary-przeciwsloneczne-polaryzacyjne-goya-g-8004-br
239041,G 55T001,Deriva,City,Nerdy,Męskie,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-goya-g-55t001-cz
239046,G 55T002,Nómada,City,Nerdy,Męskie,Przeciwsłoneczne,okulary-przeciwsloneczne-polaryzacyjne-dla-kierowcow-goya-g-55t002-br
243658,G 0901S,Dalia,Coast,Aviator,Damskie,Przeciwsłoneczne,goya-g-0901s-p-okulary-przeciwsloneczne-z-filtrem-polaryzacyjnym-pilotki-lustrzanki
243742,G 15217,Amapola,Coast,Kocie,Damskie,Przeciwsłoneczne,goya-g-15217-cz-okulary-przeciwsloneczne-kocie-oczy-z-filtrem-polaryzacyjnym
243836,G 1014 C8,Errante,City,Prostokątne,Męskie,Korekcyjne,goya-okulary-korekcyjne-g-1014-c8
243848,G 942117,Camelia,Coast,Aviator,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-942117-c1
243863,G 942115,Tarifa,Weekend,Okrągłe,Unisex,Korekcyjne,goya-okulary-korekcyjne-g-942115-c1
243868,G 2618 C4,Magnolia,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2618-c4
243869,G 2618 C2,Violeta,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2618-c2
243870,G 2618 C1,Malva,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2618-c1
243871,G 2615 C1,Denia,City,Prostokątne,Unisex,Korekcyjne,goya-okulary-korekcyjne-g-2615-c1
243876,G 2611 C2,Lila,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2611-c2
243881,G 2603 C1,Flor,Coast,Kocie,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2603-c1
243882,G 2622 C4,Adelfa,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2622-c4
243883,G 2622 C3,Buganvilla,City,Prostokątne,Damskie,Korekcyjne,goya-okulary-korekcyjne-g-2622-c3
