stary_kod,nowa_nazwa,kategoria,plec,fason,sprzedaz
G 15217,Marisol,sun,Damskie,Kocie,58
G 189,Diego,sun,Męskie,Sportowe,57
A 0736,Levante,sun,Unisex,Okrągłe,47
G 55T001,Marco,sun,Męskie,Nerdy,41
G 195,Paloma,sun,Damskie,Muchy,38
G 217,Poniente,sun,Unisex,Aviator,37
G 172,Carmen,sun,Damskie,Prostokątne,37
G 9496,Vigo,sun,Męskie,Nerdy,32
PG 3026,Solano,sun,Unisex,Aviator,28
G 55T002,Bruno,sun,Męskie,Nerdy,24
G 21609,Ambar,sun,Unisex,Aviator,21
A 0711,Valeria,sun,Damskie,Kwadratowe,20
G 171,Lucia,sun,Damskie,Pozostałe,19
G 55004 CZ,Bonita,sun,Damskie,Aviator,18
G CP3718,Perla,sun,Damskie,Prostokątne,18
A 0710,Coral,sun,Damskie,Kwadratowe,18
A 0709 CZ,Marina,sun,Damskie,Kwadratowe,17
CP 806632,Mar,sun,Unisex,Aviator,16
G 0901S,Aurora,sun,Damskie,Aviator,15
G 221,Isla,sun,Damskie,Nerdy,14
G 214,Nico,sun,Męskie,Nerdy,14
G 6232,Cala,sun,Damskie,Muchy,14
G 177 CZ,Mateo,sun,Męskie,Sportowe,14
G 55007,Hugo,sun,Męskie,Aviator,13
G 205,Vega,sun,Damskie,Kocie,13
G 183,Alma,sun,Damskie,Okrągłe,13
G 176,Leon,sun,Męskie,Sportowe,13
G 55012 CZ,Teo,sun,Męskie,Nerdy,11
G 55042,Rafa,sun,Męskie,Kwadratowe,10
G 182,Vera,sun,Damskie,Muchy,10
G 162,Cielo,sun,Unisex,Owalne,10
CJ 1943,Pablo,sun,Męskie,Nerdy,10
G 55054 CZ,Clara,sun,Damskie,Aviator,10
G 218,Emilio,sun,Męskie,Sportowe,9
G 96303,Sergio,optical,Męskie,Prostokątne,9
G100,Playa,sun,Unisex,Aviator,9
G 55006,Alvaro,sun,Męskie,Aviator,9
G CP3717,Dalia,sun,Damskie,Prostokątne,9
G 7107,Verano,sun,Unisex,Aviator,9
G 196 BR,Mimosa,sun,Damskie,Muchy,9
G 55029 CZ,Talia,sun,Damskie,Aviator,9
G1904,Arenal,sun,Unisex,Aviator,8
G 185,Nuria,sun,Damskie,Muchy,8
G 148,Pilar,sun,Damskie,Pozostałe,8
G 55001 CZ,Dario,sun,Męskie,Nerdy,8
GK 7107,Enzo,optical,Męskie,Prostokątne,7
G 199,Franco,sun,Męskie,Aviator,7
G 166 GR,Gael,sun,Męskie,Owalne,7
G 201 CZ,Javi,sun,Męskie,Sportowe,7
G 190 CZ,Reina,sun,Damskie,Muchy,6
G 188 GR,Dorado,sun,Unisex,Aviator,6
G 187,Bahia,sun,Damskie,Muchy,6
G 170,Duna,sun,Damskie,Owalne,6
CP 806639,Cadiz,sun,Unisex,Aviator,6
G 1014 C8,Luca,optical,Męskie,Prostokątne,5
G1905 C1,Jerez,sun,Unisex,Aviator,5
G 55010,Milo,sun,Męskie,Aviator,5
G 55032,Pedro,sun,Męskie,Aviator,5
G 191 BR,Lira,sun,Damskie,Muchy,5
G 157 BR,Ramon,sun,Męskie,Pozostałe,5
G 8004,Mahon,sun,Unisex,Pozostałe,4
G 2622 C4,Mira,optical,Damskie,Prostokątne,4
GH 5001,Nube,optical,Damskie,Kocie,4
M 9004,Ola,optical,Damskie,Kocie,4
MA 3021 C3,Palma,optical,Damskie,Kocie,4
